User_ID,Calories,Gender,Age,Height,Weight,Duration,Heart_Rate,Body_Temp
13725682,156.0,female,34,149.0,51.0,25.0,105.0,40.7
16654981,38.0,female,40,159.0,60.0,9.0,86.0,39.6
17150251,46.0,male,35,167.0,67.0,10.0,97.0,39.7
18458539,151.0,female,71,159.0,59.0,23.0,103.0,40.6
14761049,84.0,female,25,167.0,65.0,17.0,96.0,40.7
11823837,28.0,female,58,169.0,72.0,6.0,89.0,39.1
11090303,164.0,male,44,192.0,101.0,23.0,106.0,40.5
11378800,102.0,female,62,165.0,69.0,18.0,97.0,40.7
19595247,176.0,male,26,185.0,82.0,28.0,109.0,41.1
10207164,249.0,male,69,180.0,86.0,28.0,112.0,40.9
10007368,65.0,female,21,185.0,80.0,12.0,103.0,39.9
15162283,129.0,male,38,201.0,104.0,21.0,101.0,40.6
16475143,31.0,male,45,173.0,84.0,6.0,95.0,39.1
19212210,210.0,male,42,176.0,80.0,26.0,116.0,40.5
10854360,138.0,male,49,193.0,100.0,22.0,99.0,40.5
17442379,10.0,male,24,196.0,97.0,4.0,83.0,39.3
17231013,54.0,male,39,181.0,80.0,12.0,93.0,39.7
13230524,25.0,male,38,182.0,85.0,8.0,84.0,39.8
14812574,69.0,male,60,190.0,89.0,10.0,101.0,39.8
16797205,45.0,male,26,194.0,96.0,12.0,90.0,40.2
18707469,59.0,female,27,159.0,59.0,14.0,88.0,39.9
17664310,173.0,female,77,165.0,63.0,27.0,101.0,40.9
15019146,65.0,male,20,181.0,77.0,18.0,94.0,40.2
17192935,14.0,female,28,162.0,66.0,4.0,83.0,38.9
17726062,200.0,female,30,163.0,63.0,30.0,111.0,40.9
13728699,96.0,male,31,188.0,96.0,21.0,94.0,40.6
11706623,44.0,female,63,157.0,57.0,8.0,94.0,39.9
11584595,254.0,male,65,176.0,88.0,30.0,110.0,40.4
13708720,38.0,male,25,200.0,107.0,9.0,92.0,39.7
16170652,265.0,male,75,178.0,83.0,26.0,119.0,40.7
10999566,128.0,male,71,174.0,79.0,19.0,98.0,40.4
19173889,74.0,female,25,169.0,67.0,15.0,96.0,40.2
17352471,47.0,female,35,155.0,55.0,11.0,87.0,39.7
15413243,63.0,female,73,185.0,88.0,14.0,87.0,39.9
16969674,96.0,male,20,182.0,90.0,20.0,100.0,40.6
13383665,157.0,female,21,169.0,60.0,24.0,111.0,40.7
14100100,49.0,female,52,159.0,58.0,11.0,86.0,39.7
10744276,185.0,female,37,156.0,53.0,28.0,108.0,40.7
17577771,19.0,male,26,189.0,84.0,7.0,85.0,39.3
13278328,100.0,male,27,184.0,79.0,21.0,99.0,40.6
13000045,65.0,male,56,181.0,84.0,15.0,86.0,39.9
18982255,83.0,male,34,182.0,88.0,13.0,106.0,40.2
16621074,17.0,female,38,150.0,55.0,4.0,87.0,39.1
19235693,3.0,male,26,184.0,83.0,1.0,86.0,37.8
11277916,165.0,female,26,172.0,67.0,22.0,120.0,40.9
13423810,8.0,female,42,173.0,66.0,2.0,84.0,38.5
14978675,69.0,female,23,167.0,63.0,14.0,96.0,40.5
18742025,243.0,male,75,186.0,84.0,29.0,107.0,41.1
12998236,23.0,female,73,156.0,60.0,5.0,85.0,39.1
19606359,104.0,female,39,156.0,53.0,17.0,103.0,40.2
14805647,155.0,female,64,163.0,60.0,24.0,103.0,40.4
11757522,63.0,male,34,189.0,88.0,16.0,90.0,40.2
11344695,4.0,male,57,182.0,86.0,1.0,84.0,37.9
14669346,194.0,female,29,184.0,72.0,28.0,115.0,40.6
18250919,7.0,male,29,187.0,88.0,3.0,81.0,38.6
17535655,138.0,female,29,177.0,69.0,23.0,106.0,40.6
15483091,178.0,male,38,188.0,93.0,28.0,104.0,40.9
13492378,133.0,female,52,159.0,62.0,23.0,99.0,40.4
16652500,104.0,male,56,174.0,74.0,16.0,102.0,40.1
18421434,204.0,female,78,151.0,57.0,29.0,106.0,41.2
13203902,54.0,female,27,147.0,52.0,13.0,87.0,39.9
13825848,27.0,male,37,186.0,85.0,7.0,89.0,39.3
18282322,29.0,male,45,194.0,97.0,6.0,91.0,39.6
14326264,31.0,female,32,185.0,85.0,8.0,87.0,39.8
14913709,202.0,female,73,152.0,57.0,27.0,111.0,40.8
18734065,95.0,male,26,175.0,74.0,22.0,97.0,40.8
11736459,184.0,male,43,190.0,97.0,27.0,105.0,41.0
11702556,54.0,female,24,164.0,61.0,16.0,81.0,40.0
11936405,10.0,male,36,210.0,117.0,4.0,76.0,39.0
13486732,153.0,female,24,152.0,49.0,27.0,101.0,40.9
11966526,162.0,male,22,195.0,88.0,28.0,106.0,40.8
16079391,142.0,male,25,204.0,98.0,22.0,108.0,40.4
13492393,24.0,female,32,157.0,59.0,6.0,86.0,39.6
14487864,43.0,male,29,184.0,89.0,13.0,87.0,40.1
16283720,92.0,female,40,183.0,78.0,20.0,92.0,40.6
13464108,41.0,female,22,169.0,64.0,11.0,85.0,40.1
10840577,171.0,female,32,157.0,50.0,28.0,104.0,40.6
